order_item_id,order_id,product_id,quantity,unit_price,line_discount,line_total
1,O296337547313,631,1,65.27,0.0,65.27
2,O296337547313,1169,2,122.59,0.0,245.18
3,O296337547313,914,1,69.02,0.0,69.02
4,O296337547313,883,2,31.65,0.0,63.3
5,O337128730093,437,1,100.11,0.0,100.11
6,O337128730093,154,3,69.54,0.0,208.62
7,O55387878481,556,1,49.93,0.0,49.93
8,O367971229436,156,1,30.83,0.0,30.83
9,O367971229436,999,1,123.63,0.0,123.63
10,O367971229436,921,1,52.39,0.0,52.39
11,O5855118651,682,1,85.16,0.0,85.16
12,O5855118651,45,2,66.42,0.0,132.84
13,O5855118651,606,1,91.56,0.0,91.56
14,O158134526403,138,1,43.71,0.0,43.71
15,O110179725520,1027,1,76.75,0.0,76.75
16,O604557837201,502,1,48.42,0.0,48.42
17,O604557837201,977,1,34.65,0.0,34.65
18,O604557837201,338,1,29.13,0.0,29.13
19,O325337569942,287,1,39.75,0.0,39.75
20,O189404761645,362,3,43.18,0.0,129.54
21,O979905032815,116,1,31.97,0.0,31.97
22,O979905032815,95,1,37.01,0.0,37.01
23,O979905032815,537,2,42.43,0.0,84.86
24,O72637520394,909,1,54.57,0.0,54.57
25,O72637520394,547,1,105.17,0.0,105.17
26,O115899609117,211,1,94.1,0.0,94.1
27,O323830610084,706,1,104.1,0.0,104.1
28,O286771448145,331,2,63.37,0.0,126.74
29,O286771448145,584,1,42.51,0.0,42.51
30,O933724252584,589,2,93.49,0.0,186.98
31,O564348429879,800,1,39.67,0.0,39.67
32,O350162783035,807,1,52.06,0.0,52.06
33,O350162783035,738,1,105.82,0.0,105.82
34,O663245069588,1087,1,47.61,0.0,47.61
35,O663245069588,618,3,32.66,0.0,97.98
36,O663245069588,745,2,33.76,0.0,67.52
37,O688640838111,1123,1,52.07,0.0,52.07
38,O688640838111,884,1,113.04,0.0,113.04
39,O510687985896,897,2,15.7,0.0,31.4
40,O861440819558,1121,1,31.15,0.0,31.15
41,O861440819558,17,1,111.81,0.0,111.81
42,O861440819558,215,2,54.1,0.0,108.2
43,O615230459915,521,1,34.98,0.0,34.98
44,O615230459915,149,2,70.24,0.0,140.48
45,O700553938972,1114,1,61.37,0.0,61.37
46,O740996388688,899,4,36.07,0.0,144.28
47,O645386880361,503,1,23.14,0.0,23.14
48,O219265402497,402,2,32.65,0.0,65.3
49,O42406262968,637,2,63.27,0.0,126.54
50,O716625792878,1010,1,61.42,0.0,61.42
51,O612871956193,980,1,99.74,0.0,99.74
52,O393781412512,188,1,36.66,0.0,36.66
53,O337878393828,342,1,17.1,0.0,17.1
54,O160256591571,516,1,58.64,0.0,58.64
55,O198865383294,592,1,22.41,0.0,22.41
56,O198865383294,709,1,23.05,0.0,23.05
57,O198865383294,218,1,68.94,0.0,68.94
58,O200447848755,485,1,33.99,0.0,33.99
59,O269696530394,388,1,182.19,0.0,182.19
60,O269696530394,1106,1,40.8,0.0,40.8
61,O269696530394,642,1,27.17,0.0,27.17
62,O269696530394,988,1,164.72,0.0,164.72
63,O269696530394,617,1,104.13,0.0,104.13
64,O269696530394,1161,2,80.63,0.0,161.26
65,O42164736579,212,1,43.25,0.0,43.25
66,O42164736579,346,1,71.17,0.0,71.17
67,O42164736579,882,1,97.64,0.0,97.64
68,O42164736579,87,1,106.99,0.0,106.99
69,O499928139889,865,1,66.76,0.0,66.76
70,O499928139889,61,2,82.41,0.0,164.82
71,O499928139889,831,2,28.44,0.0,56.88
72,O499928139889,115,1,39.16,0.0,39.16
73,O499928139889,707,1,45.22,0.0,45.22
74,O362846778816,437,1,100.11,0.0,100.11
75,O362846778816,639,1,44.55,0.0,44.55
76,O362846778816,953,3,121.41,0.0,364.23
77,O737094494625,189,1,44.93,0.0,44.93
78,O737094494625,325,1,34.14,0.0,34.14
79,O737094494625,1021,1,27.94,0.0,27.94
80,O882490191673,619,1,35.35,0.0,35.35
81,O615339081715,1199,1,78.45,0.0,78.45
82,O615339081715,799,1,51.71,0.0,51.71
83,O615339081715,1101,1,74.37,0.0,74.37
84,O987555696278,18,1,20.7,0.0,20.7
85,O432561387971,1093,2,113.61,0.0,227.22
86,O600736522505,803,4,46.5,0.0,186.0
87,O590452135621,962,2,43.97,0.0,87.94
