product_id,category_id,subcategory_id,subsubcategory_id,brand,unit_price,cost_price,weight_grams,seasonality,launch_date,discontinued_at,is_sustainable
1,104,10030,1000103,Brand_104_1,24.47,15.78,11334,summer,2019-04-12,,False
2,105,10034,1000117,Brand_105_1,43.97,26.39,8372,summer,2020-02-09,,False
3,105,10039,1000130,Brand_105_3,25.66,13.5,6446,all_season,2019-04-20,,False
4,109,10069,1000220,Brand_109_2,25.63,17.77,10048,all_season,2025-06-27,,False
5,110,10077,1000244,Brand_110_2,24.55,14.78,11130,summer,2024-09-01,,False
6,110,10079,1000250,Brand_110_2,155.15,81.63,2662,winter,2023-11-10,,False
7,110,10080,1000253,Brand_110_1,27.05,14.82,1635,all_season,2020-10-18,,False
8,102,10015,1000054,Brand_102_5,40.71,18.64,6923,all_season,2018-07-21,,False
9,102,10013,1000048,Brand_102_1,49.91,28.96,7919,winter,2025-07-30,,False
10,101,10006,1000024,Brand_101_5,12.06,6.5,4909,all_season,2019-05-08,,False
11,103,10018,1000065,Brand_103_4,32.33,17.74,2745,summer,2021-03-08,,False
12,107,10050,1000163,Brand_107_1,28.46,18.29,5942,all_season,2023-09-20,,False
13,101,10003,1000012,Brand_101_1,25.44,13.43,9046,all_season,2023-03-11,,False
14,109,10071,1000227,Brand_109_1,29.9,14.35,10932,all_season,2019-05-18,,False
15,106,10041,1000137,Brand_106_2,250.46,140.22,7908,summer,2025-08-22,,False
16,105,10039,1000132,Brand_105_2,39.77,26.92,7624,all_season,2022-08-06,,False
17,107,10049,1000160,Brand_107_5,80.85,54.18,10971,all_season,2025-05-17,,False
18,103,10024,1000084,Brand_103_5,52.09,35.06,5500,winter,2023-08-01,,False
19,109,10070,1000225,Brand_109_1,52.85,23.79,5914,winter,2019-12-11,,False
20,107,10050,1000165,Brand_107_5,16.1,10.03,713,all_season,2022-06-20,,False
21,103,10017,1000062,Brand_103_2,1330.76,698.94,3746,all_season,2019-11-30,,False
22,102,10015,1000054,Brand_102_5,13.19,6.04,5905,all_season,2022-07-20,,False
23,107,10049,1000160,Brand_107_4,108.56,51.05,11497,winter,2020-02-06,,False
24,104,10028,1000098,Brand_104_2,65.2,39.67,1980,all_season,2024-01-01,,False
25,103,10019,1000070,Brand_103_4,51.13,27.18,6596,all_season,2022-03-15,,False
26,102,10014,1000052,Brand_102_5,41.99,28.77,2009,winter,2024-07-13,,False
27,108,10057,1000185,Brand_108_3,27.22,16.74,8865,all_season,2020-05-30,,True
28,106,10042,1000140,Brand_106_1,44.96,26.51,7208,winter,2022-08-10,,False
29,106,10046,1000152,Brand_106_2,54.95,36.42,1698,summer,2021-12-16,,False
30,105,10033,1000112,Brand_105_4,298.26,141.78,148,all_season,2023-04-04,,False
31,107,10050,1000163,Brand_107_3,17.2,10.8,6994,all_season,2020-03-26,,False
32,105,10040,1000135,Brand_105_3,47.52,29.95,4785,all_season,2019-04-05,,False
33,101,10006,1000022,Brand_101_2,53.69,32.63,275,winter,2024-05-20,,False
34,110,10079,1000252,Brand_110_2,134.85,85.04,7733,summer,2018-01-17,,False
35,102,10012,1000046,Brand_102_3,29.29,13.29,2377,winter,2018-10-29,,False
36,109,10070,1000225,Brand_109_1,49.04,22.99,10542,winter,2023-06-30,,False
37,101,10005,1000018,Brand_101_1,48.94,30.54,1945,summer,2019-09-18,,False
38,108,10060,1000194,Brand_108_4,34.84,17.89,10779,all_season,2020-02-24,,False
39,110,10077,1000246,Brand_110_1,15.52,10.12,6036,winter,2024-09-21,,False
40,102,10016,1000057,Brand_102_3,19.77,12.0,2418,summer,2019-02-04,2024-05-24,False
41,104,10026,1000092,Brand_104_3,14.04,8.68,4196,all_season,2019-07-29,,False
42,102,10016,1000058,Brand_102_5,99.5,45.53,9957,summer,2020-12-13,,False
43,101,10002,1000008,Brand_101_3,22.34,13.53,5365,all_season,2020-09-18,,False
44,102,10015,1000055,Brand_102_1,48.12,23.32,6849,all_season,2019-09-28,,True
45,105,10035,1000120,Brand_105_4,25.93,12.18,8982,summer,2023-01-28,,False
46,110,10077,1000245,Brand_110_5,13.22,6.14,562,all_season,2021-01-24,,False
47,110,10073,1000232,Brand_110_1,159.74,92.52,9712,all_season,2024-04-13,2024-10-13,False
48,109,10072,1000229,Brand_109_4,45.51,21.85,11598,summer,2020-12-28,,False
49,108,10059,1000190,Brand_108_1,29.06,13.79,2529,all_season,2022-06-24,,False
50,101,10006,1000023,Brand_101_5,92.72,42.84,2899,winter,2025-09-10,,False
51,110,10078,1000248,Brand_110_3,19.3,9.03,5928,all_season,2020-06-14,,False
52,106,10042,1000140,Brand_106_5,42.7,23.36,2477,summer,2020-08-14,,False
53,103,10018,1000067,Brand_103_3,43.63,21.89,4430,summer,2022-06-19,,True
54,110,10076,1000242,Brand_110_5,59.34,36.84,11138,all_season,2025-04-06,,True
55,107,10049,1000162,Brand_107_2,32.6,20.32,5795,all_season,2019-02-17,2021-03-16,False
56,110,10078,1000249,Brand_110_1,12.88,7.56,6038,all_season,2024-02-18,,False
57,102,10010,1000036,Brand_102_1,66.87,35.79,7407,all_season,2022-03-29,,False
58,101,10008,1000030,Brand_101_2,23.92,16.16,8837,all_season,2021-09-27,,True
59,104,10029,1000100,Brand_104_3,28.53,19.61,4996,all_season,2018-05-24,,False
60,101,10007,1000025,Brand_101_1,23.64,13.91,5638,all_season,2021-03-13,,True
61,102,10011,1000042,Brand_102_2,89.79,62.15,7291,all_season,2022-03-23,,False
62,106,10041,1000137,Brand_106_1,396.26,259.73,2731,summer,2023-09-08,,False
63,110,10075,1000240,Brand_110_4,38.84,23.23,10069,winter,2022-12-16,,False
64,104,10026,1000091,Brand_104_3,29.88,15.3,11844,summer,2018-06-22,2021-12-16,False
65,106,10045,1000148,Brand_106_4,66.63,39.7,554,winter,2020-04-03,,False
66,102,10016,1000058,Brand_102_3,50.6,22.92,6366,summer,2021-03-18,2024-09-04,False
67,109,10072,1000229,Brand_109_2,52.67,24.69,6240,all_season,2022-03-30,,False
68,102,10015,1000054,Brand_102_3,18.42,10.98,2753,all_season,2020-11-01,,True
69,104,10029,1000102,Brand_104_3,110.43,57.35,6869,all_season,2025-07-08,,False
70,104,10029,1000101,Brand_104_2,21.23,14.73,3825,all_season,2021-05-09,,False
71,109,10069,1000220,Brand_109_3,23.21,10.89,5763,all_season,2019-12-10,,False
72,102,10015,1000056,Brand_102_1,26.52,17.75,7468,summer,2020-10-12,,False
73,109,10070,1000224,Brand_109_5,23.6,15.51,4834,all_season,2022-06-22,2023-12-14,False
74,110,10075,1000240,Brand_110_2,72.96,34.21,2050,all_season,2022-07-27,,False
75,109,10072,1000229,Brand_109_5,55.05,29.97,7295,summer,2023-08-11,,False
76,108,10059,1000190,Brand_108_2,51.78,34.67,10065,summer,2023-11-13,,False
77,107,10049,1000162,Brand_107_2,66.79,35.19,10226,all_season,2019-01-24,,False
78,106,10044,1000145,Brand_106_4,31.49,15.23,3424,all_season,2021-06-06,,False
79,107,10055,1000179,Brand_107_4,37.65,26.17,9571,all_season,2021-09-20,,False
80,102,10014,1000052,Brand_102_3,51.49,30.22,7698,all_season,2020-10-16,,False
81,103,10023,1000081,Brand_103_5,32.85,16.9,11273,summer,2023-10-02,,False
82,102,10011,1000043,Brand_102_2,51.32,26.18,1956,all_season,2023-11-13,,False
83,105,10039,1000132,Brand_105_3,24.96,16.83,3316,all_season,2019-11-03,,False
