refund_id,order_id,payment_id,refund_date,refund_amount,currency,reason_code,processor_fee_refunded
1,15,17,2025-06-07 09:18:38,54.33,ZAR,customer_return,0.26
2,21,23,2018-05-03 17:41:10,15.6,ZAR,faulty_item,0.16
3,21,23,2018-05-03 17:41:10,22.11,ZAR,customer_return,0.13
4,26,28,2022-01-30 17:35:54,36.72,USD,faulty_item,0.5
5,46,49,2019-03-01 12:13:22,4.68,ZAR,fraud_suspected,0.06
6,46,49,2019-03-01 12:13:22,31.95,ZAR,shipping_issue,0.25
7,78,82,2025-07-31 08:27:31,10.48,GBP,damaged_in_transit,0.03
8,78,82,2025-07-31 08:27:31,1.3,GBP,faulty_item,0.02
9,99,105,2019-07-24 11:16:45,120.58,EUR,damaged_in_transit,1.64
10,128,138,2018-07-31 12:16:15,425.29,USD,fraud_suspected,0.1
11,128,138,2018-07-31 12:16:15,176.76,USD,damaged_in_transit,2.31
12,130,140,2018-09-15 03:43:20,10.39,USD,customer_return,0.1
13,130,140,2018-09-05 03:43:20,5.37,USD,shipping_issue,0.04
14,130,140,2018-09-05 03:43:20,19.63,USD,fraud_suspected,0.29
15,150,163,2024-06-15 15:51:46,16.23,EUR,fraud_suspected,0.02
16,154,167,2018-07-12 02:22:49,20.65,EUR,faulty_item,0.3
17,179,194,2025-04-24 02:26:24,6.65,USD,changed_mind,0.05
18,179,194,2025-04-24 02:26:24,36.48,USD,damaged_in_transit,0.24
19,179,194,2025-05-16 02:26:24,90.73,USD,shipping_issue,0.42
20,193,209,2020-06-20 17:34:15,37.79,GBP,fraud_suspected,0.41
21,203,219,2022-03-11 05:24:05,24.01,USD,shipping_issue,0.02
22,203,219,2022-03-11 05:24:05,210.22,USD,damaged_in_transit,1.71
23,206,223,2022-05-05 13:50:39,16.69,CAD,faulty_item,0.21
24,206,223,2022-05-05 13:50:39,1.77,CAD,faulty_item,0.01
25,226,243,2024-05-06 16:27:40,7.8,GBP,shipping_issue,0.11
26,226,243,2024-05-06 16:27:40,3.47,GBP,customer_return,0.01
27,243,263,2019-08-17 07:08:17,10.05,EUR,fraud_suspected,0.03
28,258,279,2024-08-26 10:28:47,37.15,USD,customer_return,0.42
29,260,281,2018-07-11 23:18:32,12.98,ZAR,faulty_item,0.14
30,291,313,2021-03-17 10:30:42,26.64,AUD,changed_mind,0.08
31,296,319,2022-09-19 13:49:00,7.72,USD,fraud_suspected,0.09
32,296,319,2022-09-19 13:49:00,21.38,USD,damaged_in_transit,0.11
33,324,349,2021-06-09 03:27:01,72.16,GBP,customer_return,0.96
34,324,349,2021-06-09 03:27:01,3.45,GBP,changed_mind,0.04
35,328,353,2018-06-27 21:37:45,45.74,GBP,damaged_in_transit,0.39
36,336,363,2018-03-15 23:46:35,15.03,ZAR,damaged_in_transit,0.13
37,357,384,2018-04-20 20:34:26,17.53,GBP,changed_mind,0.21
38,376,405,2019-02-27 10:37:01,3.35,USD,fraud_suspected,0.0
39,376,405,2019-02-27 10:37:01,10.69,USD,shipping_issue,0.09
40,423,458,2021-07-23 09:21:28,56.85,GBP,faulty_item,0.34
41,445,480,2019-04-26 08:16:07,265.98,EUR,shipping_issue,0.83
42,446,481,2018-07-20 13:02:18,24.05,EUR,fraud_suspected,0.04
43,469,505,2022-08-16 14:02:03,21.89,USD,changed_mind,0.14
44,478,514,2023-12-08 13:19:28,9.63,USD,damaged_in_transit,0.02
45,481,517,2025-01-27 20:12:58,198.03,USD,damaged_in_transit,2.68
46,485,522,2023-02-06 17:41:40,36.48,AUD,shipping_issue,0.41
47,507,545,2019-03-27 23:26:27,30.4,AUD,damaged_in_transit,0.03
48,538,578,2018-01-28 04:35:45,49.19,USD,changed_mind,0.58
49,538,578,2018-01-28 04:35:45,4.74,USD,changed_mind,0.07
50,578,622,2023-08-23 21:39:38,1.61,EUR,damaged_in_transit,0.01
51,578,622,2023-08-23 21:39:38,8.2,EUR,shipping_issue,0.05
52,598,644,2018-07-30 02:28:25,33.18,GBP,fraud_suspected,0.14
53,609,656,2024-04-05 00:18:40,24.05,CAD,customer_return,0.24
54,643,696,2021-05-14 00:19:27,38.15,GBP,faulty_item,0.11
55,643,696,2021-05-14 00:19:27,2.13,GBP,damaged_in_transit,0.03
56,647,700,2022-08-15 11:39:20,34.91,USD,changed_mind,0.46
57,655,709,2021-04-24 14:40:33,106.63,USD,damaged_in_transit,0.37
58,683,740,2023-07-15 07:32:50,24.09,EUR,changed_mind,0.15
59,691,748,2025-02-18 07:32:39,117.76,USD,customer_return,1.41
60,693,751,2023-01-12 14:19:01,63.43,GBP,changed_mind,0.16
61,721,780,2025-10-07 14:31:19,15.35,ZAR,changed_mind,0.04
62,724,783,2024-01-04 06:12:41,27.25,USD,changed_mind,0.09
63,724,783,2024-01-04 06:12:41,29.47,USD,damaged_in_transit,0.13
64,742,803,2021-06-24 06:21:19,28.11,ZAR,shipping_issue,0.16
65,747,808,2022-10-01 21:48:06,24.25,CAD,customer_return,0.02
66,747,808,2022-10-01 21:48:06,141.85,CAD,damaged_in_transit,1.76
67,755,817,2019-08-14 16:11:18,45.25,NZD,damaged_in_transit,0.27
68,759,821,2018-09-14 05:41:53,116.75,USD,damaged_in_transit,0.94
69,774,836,2019-04-24 08:20:29,142.54,EUR,faulty_item,1.59
70,774,836,2019-04-24 08:20:29,152.41,EUR,customer_return,0.04
71,796,860,2020-03-16 18:19:55,0.3,ZAR,faulty_item,0.0
72,796,860,2020-03-16 18:19:55,60.93,ZAR,faulty_item,0.62
73,811,877,2020-06-16 06:27:37,28.05,KES,fraud_suspected,0.26
74,816,883,2018-06-18 19:12:20,511.64,EUR,changed_mind,5.2
75,824,891,2023-09-29 01:22:42,90.21,CAD,changed_mind,0.67
76,867,936,2022-10-17 09:14:11,25.05,AED,customer_return,0.03
77,885,954,2022-01-04 04:24:03,121.9,KES,shipping_issue,0.12
78,918,988,2023-06-08 11:25:32,29.83,USD,changed_mind,0.06
79,918,988,2023-06-08 11:25:32,9.05,USD,customer_return,0.11
80,922,992,2023-03-26 06:50:26,19.5,EUR,changed_mind,0.05
81,937,1007,2024-04-28 12:29:40,40.18,USD,shipping_issue,0.38
82,976,1049,2024-01-09 20:31:48,8.97,USD,shipping_issue,0.04
83,976,1049,2024-01-09 20:31:48,1.27,USD,fraud_suspected,0.01
84,982,1055,2021-10-05 22:16:38,654.65,USD,customer_return,3.13
85,982,1055,2021-10-05 22:16:38,401.04,USD,fraud_suspected,4.71
86,1001,1075,2022-12-11 01:09:57,14.49,USD,customer_return,0.0
87,1007,1082,2023-06-11 13:56:40,2.89,USD,fraud_suspected,0.03
88,1007,1082,2023-06-11 13:56:40,50.43,USD,damaged_in_transit,0.42
89,1026,1102,2019-07-22 00:42:00,39.75,KES,changed_mind,0.31
90,1027,1103,2020-10-06 02:14:13,38.43,EUR,damaged_in_transit,0.36
91,1027,1103,2020-10-06 02:14:13,6.89,EUR,changed_mind,0.04
92,1077,1155,2019-02-07 17:47:36,96.08,USD,customer_return,0.31
93,1079,1157,2025-07-24 19:41:25,33.26,EUR,customer_return,0.33
94,1086,1164,2024-03-06 16:27:35,10.11,USD,faulty_item,0.07
95,1086,1164,2024-03-06 16:27:35,19.77,USD,customer_return,0.07
96,1086,1164,2024-05-08 16:27:35,39.57,USD,changed_mind,0.05
97,1086,1164,2024-05-08 16:27:35,23.96,USD,changed_mind,0.3
98,1096,1175,2023-06-30 17:19:51,2.68,EUR,fraud_suspected,0.02
99,1096,1175,2023-06-30 17:19:51,17.55,EUR,fraud_suspected,0.11
100,1140,1220,2021-04-20 20:30:00,26.71,USD,shipping_issue,0.34
101,1140,1221,2021-04-20 20:30:00,3.16,USD,shipping_issue,0.02
102,1156,1239,2018-06-03 17:01:10,30.26,ZAR,fraud_suspected,0.14
103,1156,1239,2018-06-03 17:01:10,45.98,ZAR,shipping_issue,0.49
104,1171,1254,2021-11-10 16:53:25,4.87,ZAR,damaged_in_transit,0.04
