return_id,order_id,order_item_id,return_date,return_reason_code,item_condition,processing_outcome,return_channel,refund_amount,restocking_fee
1,15,40,2025-06-07 09:18:38,late_delivery,new,restocked,store_dropoff,54.33,0.08
2,21,54,2018-05-03 17:41:10,fraudulent_claim,new,restocked,store_dropoff,37.71,0.13
3,26,63,2022-01-30 17:35:54,damaged_in_transit,used_lightly,resold_outlet,courier_pickup,36.72,0.54
4,46,113,2019-03-01 12:13:22,damaged_in_transit,used_lightly,restocked,mail_back,36.63,0.84
5,78,182,2025-07-31 08:27:31,fraudulent_claim,new,resold_outlet,mail_back,11.78,0.1
6,99,227,2019-07-24 11:16:45,damaged_in_transit,new,resold_outlet,mail_back,120.58,2.81
7,128,288,2018-07-31 12:16:15,fraudulent_claim,used_lightly,resold_outlet,mail_back,602.05,17.68
8,130,292,2018-09-15 03:43:20,size_fit_issue,new,scrapped,courier_pickup,10.39,0.28
9,130,294,2018-09-05 03:43:20,late_delivery,new,restocked,mail_back,25.0,0.65
10,150,345,2024-06-15 15:51:46,size_fit_issue,new,restocked,courier_pickup,16.23,0.04
11,154,352,2018-07-12 02:22:49,late_delivery,new,restocked,courier_pickup,20.65,0.34
12,179,408,2025-04-24 02:26:24,size_fit_issue,used_lightly,resold_outlet,mail_back,43.13,1.09
13,179,409,2025-05-16 02:26:24,damaged_in_transit,damaged,scrapped,courier_pickup,90.73,0.18
14,193,438,2020-06-20 17:34:15,late_delivery,used_lightly,restocked,store_dropoff,37.79,0.69
15,203,454,2022-03-11 05:24:05,late_delivery,new,scrapped,store_dropoff,234.23,1.49
16,206,463,2022-05-05 13:50:39,changed_mind,used_lightly,restocked,mail_back,18.46,0.13
17,226,504,2024-05-06 16:27:40,late_delivery,used_lightly,scrapped,mail_back,11.27,0.05
18,243,548,2019-08-17 07:08:17,damaged_in_transit,new,resold_outlet,courier_pickup,10.05,0.25
19,258,581,2024-08-26 10:28:47,changed_mind,new,restocked,store_dropoff,37.15,0.58
20,260,587,2018-07-11 23:18:32,fraudulent_claim,used_lightly,scrapped,store_dropoff,12.98,0.08
21,291,645,2021-03-17 10:30:42,fraudulent_claim,new,resold_outlet,mail_back,26.64,0.39
