Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,MedianDaysBetweenOrders,AvgOrderValue,Churn
2446,1,187.97,1,1,3,5,727.5,187.97,1
1245,1,53.76,2,1,1,4,727.5,53.76,1
594,1,168.73,3,1,2,6,727.5,168.73,1
2658,1,294.62,1,1,3,5,727.5,294.62,1
187,2,199.47,4,3,3,10,1186.0,99.735,1
1571,1,40.88,2,1,1,4,727.5,40.88,1
1510,1,55.51,2,1,1,4,727.5,55.51,1
272,1,228.62,4,1,3,8,727.5,228.62,1
1542,2,443.95,2,3,4,9,30.0,221.975,1
2079,1,234.56,1,1,3,5,727.5,234.56,1
1630,1,67.89,2,1,1,4,727.5,67.89,1
197,2,212.69,4,3,3,10,123.0,106.345,1
2198,1,244.95,1,1,3,5,727.5,244.95,1
1534,2,207.48000000000002,2,3,3,8,536.0,103.74000000000001,1
458,2,416.51,4,3,4,11,654.0,208.255,1
1942,1,13.17,1,1,1,3,727.5,13.17,1
1777,2,830.59,2,3,4,9,160.0,415.295,1
2416,1,88.06,1,1,2,4,727.5,88.06,1
910,3,722.11,3,4,4,11,896.0,240.70333333333335,1
672,1,38.46,3,1,1,5,727.5,38.46,1
1775,1,125.29,2,1,2,5,727.5,125.29,1
1658,1,35.26,2,1,1,4,727.5,35.26,1
2141,1,499.07,1,1,4,6,727.5,499.07,1
1299,2,111.7,2,3,2,7,469.0,55.85,1
1650,1,236.46,2,1,3,6,727.5,236.46,1
1271,2,190.0,2,3,3,8,514.0,95.0,1
1945,1,307.14,1,1,4,6,727.5,307.14,1
180,2,239.51,4,3,3,10,2458.0,119.755,1
2462,1,102.96,1,1,2,4,727.5,102.96,1
523,2,598.8499999999999,4,3,4,11,2304.0,299.42499999999995,1
1524,3,1031.66,2,4,4,10,215.0,343.8866666666667,1
1602,1,672.95,2,1,4,7,727.5,672.95,1
2428,1,133.14,1,1,2,4,727.5,133.14,1
1961,1,137.7,1,1,2,4,727.5,137.7,1
49,1,46.24,4,1,1,6,727.5,46.24,0
1561,1,33.12,2,1,1,4,727.5,33.12,1
2045,2,338.59,1,3,4,8,726.0,169.295,1
469,2,172.18,4,3,3,10,1265.0,86.09,1
2594,2,235.68,1,3,3,7,151.0,117.84,1
67,1,242.92,4,1,3,8,727.5,242.92,0
1786,2,254.05,2,3,3,8,795.0,127.025,1
289,2,151.23000000000002,4,3,2,9,1077.0,75.61500000000001,1
2791,1,66.42,1,1,1,3,727.5,66.42,1
2742,1,380.25,1,1,4,6,727.5,380.25,1
800,1,40.14,3,1,1,5,727.5,40.14,1
2812,1,99.59,1,1,2,4,727.5,99.59,1
695,3,494.09000000000003,3,4,4,11,860.0,164.6966666666667,1
565,2,628.1,4,3,4,11,894.0,314.05,1
1976,1,261.55,1,1,3,5,727.5,261.55,1
861,1,62.88,3,1,1,5,727.5,62.88,1
1693,2,464.79,2,3,4,9,691.0,232.395,1
2653,1,53.69,1,1,1,3,727.5,53.69,1
82,2,346.1,4,3,4,11,1319.0,173.05,0
199,2,216.04,4,3,3,10,210.0,108.02,1
2671,1,325.16,1,1,4,6,727.5,325.16,1
656,1,130.45,3,1,2,6,727.5,130.45,1
1881,1,459.0,1,1,4,6,727.5,459.0,1
169,2,603.14,4,3,4,11,2031.0,301.57,0
2380,1,44.86,1,1,1,3,727.5,44.86,1
1336,1,309.9,2,1,4,7,727.5,309.9,1
1238,1,157.44,2,1,2,5,727.5,157.44,1
176,2,80.72,4,3,1,8,2455.0,40.36,0
1722,1,128.89,2,1,2,5,727.5,128.89,1
2504,1,70.42,1,1,1,3,727.5,70.42,1
