customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,last_order_date,Churn,MedianDaysBetweenOrders,AvgOrderValue
1.0,2446,1,187.97,1,1,3,5,113,Potential Loyalist,2019-01-20 06:50:00,1,,187.97
3.0,1245,1,53.76,2,1,1,4,211,At Risk,2022-05-05 08:26:00,1,,53.76
4.0,594,1,168.73,3,1,2,6,312,Potential Loyalist,2024-02-15 08:41:00,1,,168.73
5.0,2658,1,294.62,1,1,3,5,113,Potential Loyalist,2018-06-22 14:29:00,1,,294.62
6.0,187,2,199.47,4,3,3,10,433,Champions,2025-03-28 19:45:00,1,1186.0,99.735
7.0,1571,1,40.88,2,1,1,4,211,At Risk,2021-06-13 03:23:00,1,,40.88
9.0,1510,1,55.51,2,1,1,4,211,At Risk,2021-08-13 16:09:00,1,,55.51
10.0,272,1,228.62,4,1,3,8,413,Loyal Customers,2025-01-02 12:33:00,1,,228.62
11.0,1542,2,443.95,2,3,4,9,234,Loyal Customers,2021-07-12 17:06:00,1,30.0,221.975
14.0,2079,1,234.56,1,1,3,5,113,Potential Loyalist,2020-01-22 18:51:00,1,,234.56
15.0,1630,1,67.89,2,1,1,4,211,At Risk,2021-04-15 05:26:00,1,,67.89
16.0,197,2,212.69,4,3,3,10,433,Champions,2025-03-18 08:44:00,1,123.0,106.345
17.0,2198,1,244.95,1,1,3,5,113,Potential Loyalist,2019-09-25 18:14:00,1,,244.95
18.0,1534,2,207.48000000000002,2,3,3,8,233,Loyal Customers,2021-07-21 00:05:00,1,536.0,103.74000000000001
19.0,458,2,416.51,4,3,4,11,434,Champions,2024-06-30 15:54:00,1,654.0,208.255
20.0,1942,1,13.17,1,1,1,3,111,At Risk,2020-06-07 06:21:00,1,,13.17
21.0,1777,2,830.59,2,3,4,9,234,Loyal Customers,2020-11-19 14:58:00,1,160.0,415.295
23.0,2416,1,88.06,1,1,2,4,112,At Risk,2019-02-19 11:04:00,1,,88.06
24.0,910,3,722.11,3,4,4,11,344,Champions,2023-04-05 13:06:00,1,896.0,240.70333333333335
26.0,672,1,38.46,3,1,1,5,311,Potential Loyalist,2023-11-29 02:24:00,1,,38.46
27.0,1775,1,125.29,2,1,2,5,212,Potential Loyalist,2020-11-21 05:38:00,1,,125.29
28.0,1658,1,35.26,2,1,1,4,211,At Risk,2021-03-18 17:48:00,1,,35.26
29.0,2141,1,499.07,1,1,4,6,114,Potential Loyalist,2019-11-21 21:08:00,1,,499.07
30.0,1299,2,111.7,2,3,2,7,232,Potential Loyalist,2022-03-12 11:27:00,1,469.0,55.85
31.0,1650,1,236.46,2,1,3,6,213,Potential Loyalist,2021-03-26 08:52:00,1,,236.46
32.0,1271,2,190.0,2,3,3,8,233,Loyal Customers,2022-04-09 13:53:00,1,514.0,95.0
