customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
1,278,12,2460.02,2,4,4,10,At Risk
2,681,13,3148.68,1,4,5,10,At Risk
3,109,9,642.51,4,2,1,7,Regulars
4,28,15,2096.85,5,5,4,14,Champions
5,141,14,5110.12,4,5,5,14,Champions
6,181,6,635.22,3,1,1,5,Regulars
7,465,10,724.66,1,3,1,5,Regulars
8,126,15,2435.58,4,5,4,13,Champions
9,166,9,1002.13,3,2,2,7,Regulars
10,600,10,1079.04,1,3,2,6,Regulars
11,234,11,1133.14,3,3,2,8,Regulars
12,394,7,1210.15,2,1,2,5,Hibernating
13,191,4,1461.49,3,1,3,7,Regulars
14,314,13,2638.42,2,4,5,11,At Risk
15,40,12,3856.42,5,4,5,14,Champions
16,447,11,969.6200000000001,2,3,2,7,Regulars
17,212,11,2112.79,3,3,4,10,Big Spenders
18,697,6,635.01,1,1,1,3,Hibernating
19,528,12,2674.6499999999996,1,4,5,10,At Risk
20,127,11,843.54,4,3,1,8,Loyal
21,551,5,2216.35,1,1,4,6,Regulars
22,616,10,2236.7400000000002,1,3,4,8,Regulars
23,120,16,1948.07,4,5,4,13,Champions
24,110,11,3482.07,4,3,5,12,Loyal
25,566,13,3157.65,1,4,5,10,At Risk
26,272,7,4972.34,2,1,5,8,Regulars
27,207,2,133.64000000000001,3,1,1,5,Regulars
28,140,10,1212.1399999999999,4,3,2,9,Loyal
29,26,9,2327.27,5,2,4,11,Big Spenders
30,234,9,1177.3400000000001,3,2,2,7,Regulars
31,322,9,687.73,2,2,1,5,Hibernating
32,76,7,546.59,4,1,1,6,Regulars
33,57,12,1431.0900000000001,5,4,3,12,Loyal
34,135,14,4988.78,4,5,5,14,Champions
35,142,9,2947.31,4,2,5,11,Big Spenders
36,1424,10,4671.5599999999995,1,3,5,9,Regulars
37,122,11,1748.5400000000002,4,3,4,11,Loyal
38,23,11,2037.26,5,3,4,12,Loyal
39,26,8,3262.69,5,2,5,12,Big Spenders
40,267,6,939.29,2,1,2,5,Hibernating
41,31,9,1018.05,5,2,2,9,Regulars
42,308,17,3284.36,2,5,5,12,At Risk
43,99,8,595.65,4,2,1,7,Regulars
44,554,9,3390.2299999999996,1,2,5,8,Regulars
45,597,8,858.9399999999999,1,2,2,5,Hibernating
46,54,11,1616.91,5,3,3,11,Loyal
47,1328,7,1058.0900000000001,1,1,2,4,Hibernating
48,78,7,387.15999999999997,4,1,1,6,Regulars
49,190,14,2069.2200000000003,3,5,4,12,Big Spenders
50,228,6,646.15,3,1,1,5,Regulars
51,691,6,762.94,1,1,1,3,Hibernating
52,426,9,1298.35,2,2,3,7,Regulars
53,590,8,1017.96,1,2,2,5,Hibernating
54,40,12,2114.92,5,4,4,13,Champions
55,319,10,1115.34,2,3,2,7,Regulars
56,189,12,1618.1100000000001,3,4,3,10,Regulars
57,87,16,1744.22,4,5,4,13,Champions
58,137,12,3857.27,4,4,5,13,Champions
59,109,10,976.52,4,3,2,9,Loyal
60,141,11,1353.45,4,3,3,10,Loyal
61,230,11,1508.69,3,3,3,9,Regulars
62,376,12,728.51,2,4,1,7,At Risk
63,39,11,5927.23,5,3,5,13,Loyal
64,123,9,6639.380000000001,4,2,5,11,Big Spenders
65,431,4,773.9200000000001,2,1,1,4,Hibernating
66,244,12,1253.79,3,4,3,10,Regulars
67,129,10,1781.5300000000002,4,3,4,11,Loyal
68,22,7,1438.35,5,1,3,9,Regulars
69,811,2,85.96000000000001,1,1,1,3,Hibernating
70,931,10,955.1700000000001,1,3,2,6,Regulars
71,256,13,2350.54,2,4,4,10,At Risk
72,86,12,1748.6000000000001,4,4,4,12,Champions
73,9,14,2758.82,5,5,5,15,Champions
74,141,12,935.8,4,4,2,10,Loyal
75,161,13,6380.610000000001,3,4,5,12,Big Spenders
76,324,7,1504.44,2,1,3,6,Regulars
77,123,14,1145.72,4,5,2,11,Loyal
78,521,14,3198.9799999999996,1,5,5,11,At Risk
79,30,11,2142.56,5,3,4,12,Loyal
80,105,14,2232.28,4,5,4,13,Champions
81,97,11,851.2,4,3,2,9,Loyal
82,38,13,2954.4700000000003,5,4,5,14,Champions
83,408,8,866.49,2,2,2,6,Hibernating
84,53,11,3160.04,5,3,5,13,Loyal
85,636,7,775.1899999999999,1,1,1,3,Hibernating
86,180,7,414.07,3,1,1,5,Regulars
87,272,7,809.1899999999999,2,1,1,4,Hibernating
88,210,7,788.1099999999999,3,1,1,5,Regulars
89,167,8,917.26,3,2,2,7,Regulars
90,496,11,2058.7799999999997,1,3,4,8,Regulars
91,166,6,644.13,3,1,1,5,Regulars
92,241,11,1691.7800000000002,3,3,3,9,Regulars
93,92,8,879.64,4,2,2,8,Regulars
94,129,12,1343.8600000000001,4,4,3,11,Loyal
95,154,15,857.48,3,5,2,10,Regulars
96,16,10,1824.2,5,3,4,12,Loyal
97,192,10,1148.28,3,3,2,8,Regulars
98,103,3,687.3800000000001,4,1,1,6,Regulars
99,529,8,2976.4,1,2,5,8,Regulars
100,50,9,1116.64,5,2,2,9,Regulars
101,530,8,3231.62,1,2,5,8,Regulars
102,252,13,4090.53,2,4,5,11,At Risk
103,35,10,1094.57,5,3,2,10,Loyal
104,912,11,1954.03,1,3,4,8,Regulars
105,331,17,2299.55,2,5,4,11,At Risk
106,831,11,2886.77,1,3,5,9,Regulars
107,230,9,1120.92,3,2,2,7,Regulars
108,142,9,2722.32,4,2,5,11,Big Spenders
109,106,10,1689.95,4,3,3,10,Loyal
110,161,8,1858.6,3,2,4,9,Big Spenders
111,1048,14,1854.54,1,5,4,10,At Risk
112,281,10,2826.6400000000003,2,3,5,10,Regulars
113,217,7,1023.18,3,1,2,6,Regulars
114,35,12,2994.77,5,4,5,14,Champions
115,274,4,999.51,2,1,2,5,Hibernating
116,33,11,1671.0,5,3,3,11,Loyal
117,57,9,1043.71,5,2,2,9,Regulars
118,230,21,4735.47,3,5,5,13,Big Spenders
119,11,8,1282.1,5,2,3,10,Regulars
120,46,14,1269.3100000000002,5,5,3,13,Loyal
121,1074,2,186.20999999999998,1,1,1,3,Hibernating
122,158,7,1173.5900000000001,3,1,2,6,Regulars
123,2,12,1337.82,5,4,3,12,Loyal
124,1890,5,264.26,1,1,1,3,Hibernating
125,391,9,732.65,2,2,1,5,Hibernating
126,355,6,860.44,2,1,2,5,Hibernating
127,1884,5,1635.5,1,1,3,5,Regulars
128,341,9,1321.29,2,2,3,7,Regulars
129,402,9,3989.2799999999997,2,2,5,9,Regulars
130,262,5,1723.45,2,1,3,6,Regulars
131,252,6,1604.5200000000002,2,1,3,6,Regulars
132,385,9,1480.3200000000002,2,2,3,7,Regulars
133,461,7,992.03,1,1,2,4,Hibernating
134,70,13,3532.52,4,4,5,13,Champions
135,105,10,3089.3100000000004,4,3,5,12,Loyal
136,182,15,4022.16,3,5,5,13,Big Spenders
137,140,5,439.33000000000004,4,1,1,6,Regulars
138,26,9,1638.67,5,2,3,10,Regulars
139,105,10,1045.8,4,3,2,9,Loyal
140,242,10,1245.32,3,3,3,9,Regulars
141,70,8,622.16,4,2,1,7,Regulars
142,308,10,1884.38,2,3,4,9,Regulars
143,161,10,1347.26,3,3,3,9,Regulars
144,109,8,630.05,4,2,1,7,Regulars
145,488,12,3090.2599999999998,1,4,5,10,At Risk
146,399,9,3594.95,2,2,5,9,Regulars
147,84,12,4301.35,4,4,5,13,Champions
148,243,9,824.44,3,2,1,6,Regulars
149,29,7,541.97,5,1,1,7,Regulars
150,558,6,1098.95,1,1,2,4,Hibernating
151,49,14,7051.79,5,5,5,15,Champions
152,399,13,3068.2200000000003,2,4,5,11,At Risk
153,437,8,1583.96,2,2,3,7,Regulars
154,65,8,1445.73,5,2,3,10,Regulars
155,385,9,1468.31,2,2,3,7,Regulars
156,609,11,1171.41,1,3,2,6,Regulars
157,60,11,1927.3899999999999,5,3,4,12,Loyal
158,521,11,1607.5,1,3,3,7,Regulars
159,239,12,941.9100000000001,3,4,2,9,Regulars
160,191,8,1356.68,3,2,3,8,Regulars
161,223,7,865.06,3,1,2,6,Regulars
162,549,7,2123.54,1,1,4,6,Regulars
163,168,6,817.53,3,1,1,5,Regulars
164,264,9,1583.24,2,2,3,7,Regulars
165,258,7,1709.47,2,1,3,6,Regulars
166,240,13,1626.18,3,4,3,10,Regulars
167,1061,7,2043.71,1,1,4,6,Regulars
168,210,14,1561.3400000000001,3,5,3,11,Regulars
169,513,4,408.15,1,1,1,3,Hibernating
170,119,7,822.21,4,1,1,6,Regulars
171,139,15,3141.11,4,5,5,14,Champions
172,2,8,588.02,5,2,1,8,Regulars
173,11,10,1688.24,5,3,3,11,Loyal
174,56,11,1193.31,5,3,2,10,Loyal
175,272,12,1198.07,2,4,2,8,At Risk
176,229,8,2351.6200000000003,3,2,4,9,Big Spenders
177,269,8,1043.46,2,2,2,6,Hibernating
178,157,8,2005.55,3,2,4,9,Big Spenders
179,45,12,2125.34,5,4,4,13,Champions
180,92,21,3541.33,4,5,5,14,Champions
181,181,13,1944.04,3,4,4,11,Big Spenders
182,195,7,847.9,3,1,2,6,Regulars
183,268,8,1333.01,2,2,3,7,Regulars
184,369,6,1148.06,2,1,2,5,Hibernating
185,86,15,3519.64,4,5,5,14,Champions
186,134,10,1045.79,4,3,2,9,Loyal
187,132,15,1692.99,4,5,3,12,Loyal
188,168,9,5413.67,3,2,5,10,Big Spenders
189,91,6,387.0,4,1,1,6,Regulars
190,250,12,1348.03,2,4,3,9,At Risk
191,88,13,2191.28,4,4,4,12,Champions
192,29,17,1888.49,5,5,4,14,Champions
193,223,12,2869.9700000000003,3,4,5,12,Big Spenders
194,27,11,690.1,5,3,1,9,Loyal
195,53,5,372.6,5,1,1,7,Regulars
196,423,4,429.59000000000003,2,1,1,4,Hibernating
197,144,7,1551.79,4,1,3,8,Regulars
198,17,8,962.7,5,2,2,9,Regulars
199,74,11,801.35,4,3,1,8,Loyal
200,28,15,1418.98,5,5,3,13,Loyal
201,502,12,1204.01,1,4,2,7,At Risk
202,1249,7,447.77,1,1,1,3,Hibernating
203,146,17,3151.23,4,5,5,14,Champions
204,86,8,653.36,4,2,1,7,Regulars
205,582,11,2828.91,1,3,5,9,Regulars
206,5,15,3166.0899999999997,5,5,5,15,Champions
207,100,9,689.66,4,2,1,7,Regulars
208,868,9,1254.93,1,2,3,6,Regulars
209,42,5,516.08,5,1,1,7,Regulars
210,45,10,825.24,5,3,1,9,Loyal
211,318,12,1742.05,2,4,4,10,At Risk
212,235,12,640.15,3,4,1,8,Regulars
213,496,10,1603.14,1,3,3,7,Regulars
214,100,12,1994.56,4,4,4,12,Champions
215,160,10,2406.85,3,3,4,10,Big Spenders
216,59,7,685.1,5,1,1,7,Regulars
217,309,11,1269.17,2,3,3,8,Regulars
218,14,14,3867.29,5,5,5,15,Champions
219,2,13,5459.7,5,4,5,14,Champions
220,530,7,527.63,1,1,1,3,Hibernating
221,49,14,1732.95,5,5,4,14,Champions
222,228,13,2498.85,3,4,4,11,Big Spenders
223,590,6,433.91,1,1,1,3,Hibernating
224,83,12,1185.73,4,4,2,10,Loyal
225,124,9,3398.98,4,2,5,11,Big Spenders
226,109,14,3151.75,4,5,5,14,Champions
227,22,17,1436.71,5,5,3,13,Loyal
228,54,12,975.11,5,4,2,11,Loyal
229,172,21,3381.23,3,5,5,13,Big Spenders
230,246,13,2547.4,3,4,4,11,Big Spenders
231,46,10,1410.5600000000002,5,3,3,11,Loyal
232,635,11,5813.3099999999995,1,3,5,9,Regulars
233,477,8,769.36,1,2,1,4,Hibernating
234,607,11,992.1899999999999,1,3,2,6,Regulars
235,58,17,2428.89,5,5,4,14,Champions
236,85,11,3467.86,4,3,5,12,Loyal
237,178,15,1429.7,3,5,3,11,Regulars
238,345,10,608.95,2,3,1,6,Regulars
239,308,8,1426.63,2,2,3,7,Regulars
240,42,11,2234.96,5,3,4,12,Loyal
241,127,11,1556.7,4,3,3,10,Loyal
242,407,11,1561.28,2,3,3,8,Regulars
243,103,6,369.05,4,1,1,6,Regulars
244,0,9,860.59,5,2,2,9,Regulars
245,321,8,678.37,2,2,1,5,Hibernating
246,163,11,1214.7,3,3,2,8,Regulars
247,4,9,1454.54,5,2,3,10,Regulars
248,291,12,6611.05,2,4,5,11,At Risk
249,119,10,1871.55,4,3,4,11,Loyal
250,24,17,2537.85,5,5,4,14,Champions
251,211,10,2163.88,3,3,4,10,Big Spenders
252,0,12,1710.98,5,4,3,12,Loyal
253,495,9,594.0600000000001,1,2,1,4,Hibernating
254,359,5,1821.27,2,1,4,7,Regulars
255,162,12,1717.2199999999998,3,4,3,10,Regulars
256,53,12,895.51,5,4,2,11,Loyal
257,147,9,1697.25,4,2,3,9,Regulars
258,71,8,723.88,4,2,1,7,Regulars
259,714,9,785.27,1,2,1,4,Hibernating
260,334,7,1696.5900000000001,2,1,3,6,Regulars
261,223,13,1256.55,3,4,3,10,Regulars
262,341,10,2437.4,2,3,4,9,Regulars
263,125,8,1052.62,4,2,2,8,Regulars
264,94,10,1636.5,4,3,3,10,Loyal
265,31,14,3886.06,5,5,5,15,Champions
266,194,9,1649.81,3,2,3,8,Regulars
267,114,11,1311.4299999999998,4,3,3,10,Loyal
268,184,7,633.79,3,1,1,5,Regulars
269,284,11,2289.38,2,3,4,9,Regulars
270,133,9,2880.81,4,2,5,11,Big Spenders
271,48,12,1819.24,5,4,4,13,Champions
272,204,13,876.99,3,4,2,9,Regulars
273,23,5,2545.54,5,1,4,10,Big Spenders
274,161,13,2763.7200000000003,3,4,5,12,Big Spenders
275,124,11,1189.49,4,3,2,9,Loyal
276,84,3,239.64000000000001,4,1,1,6,Regulars
277,463,8,2683.87,1,2,5,8,Regulars
278,331,8,1002.8399999999999,2,2,2,6,Hibernating
279,110,15,3256.75,4,5,5,14,Champions
280,75,14,1007.08,4,5,2,11,Loyal
281,623,17,2262.4300000000003,1,5,4,10,At Risk
282,156,13,3438.37,3,4,5,12,Big Spenders
283,180,12,2255.71,3,4,4,11,Big Spenders
284,134,12,1088.05,4,4,2,10,Loyal
285,63,10,752.5699999999999,5,3,1,9,Loyal
286,139,7,887.9300000000001,4,1,2,7,Regulars
287,541,12,1419.1299999999999,1,4,3,8,At Risk
288,6,12,2070.88,5,4,4,13,Champions
289,63,6,542.6899999999999,5,1,1,7,Regulars
290,44,12,1837.06,5,4,4,13,Champions
291,214,12,3980.23,3,4,5,12,Big Spenders
292,73,12,2078.83,4,4,4,12,Champions
293,767,10,1220.71,1,3,2,6,Regulars
294,847,8,1103.72,1,2,2,5,Hibernating
295,43,16,3817.0099999999998,5,5,5,15,Champions
296,251,13,2223.82,2,4,4,10,At Risk
297,225,8,1073.55,3,2,2,7,Regulars
298,419,13,1431.81,2,4,3,9,At Risk
299,96,11,994.98,4,3,2,9,Loyal
300,192,7,777.76,3,1,1,5,Regulars
301,567,6,1262.97,1,1,3,5,Regulars
302,33,12,682.08,5,4,1,10,Loyal
303,466,5,711.98,1,1,1,3,Hibernating
304,792,12,2133.77,1,4,4,9,At Risk
305,263,6,899.5899999999999,2,1,2,5,Hibernating
306,164,11,1131.74,3,3,2,8,Regulars
307,62,14,1566.3999999999999,5,5,3,13,Loyal
308,346,8,868.85,2,2,2,6,Hibernating
309,442,13,1577.87,2,4,3,9,At Risk
310,131,11,1914.05,4,3,4,11,Loyal
311,285,11,736.6700000000001,2,3,1,6,Regulars
312,520,10,874.64,1,3,2,6,Regulars
313,69,4,554.61,4,1,1,6,Regulars
314,346,6,506.71999999999997,2,1,1,4,Hibernating
315,116,16,3472.19,4,5,5,14,Champions
316,229,11,2353.84,3,3,4,10,Big Spenders
317,11,13,3321.01,5,4,5,14,Champions
318,398,6,961.75,2,1,2,5,Hibernating
319,481,19,2449.15,1,5,4,10,At Risk
320,485,7,2737.0,1,1,5,7,Regulars
321,4,11,4084.33,5,3,5,13,Loyal
322,61,5,966.65,5,1,2,8,Regulars
323,187,7,1407.3000000000002,3,1,3,7,Regulars
324,52,10,1567.97,5,3,3,11,Loyal
325,528,5,951.62,1,1,2,4,Hibernating
