customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,cat_richness,churn_horizon_days,last_purchase,days_since_last,is_churned
1,278,12,2460.02,2,4,4,10,At Risk,1,90,2024-12-26,278,1
2,681,13,3148.68,1,4,5,10,At Risk,1,90,2023-11-19,681,1
3,109,9,642.51,4,2,1,7,Regulars,1,120,2025-06-13,109,0
4,28,15,2096.85,5,5,4,14,Champions,1,90,2025-09-02,28,0
5,141,14,5110.12,4,5,5,14,Champions,1,90,2025-05-12,141,1
6,181,6,635.22,3,1,1,5,Regulars,1,180,2025-04-02,181,1
7,465,10,724.66,1,3,1,5,Regulars,1,120,2024-06-22,465,1
8,126,15,2435.58,4,5,4,13,Champions,1,90,2025-05-27,126,1
9,166,9,1002.13,3,2,2,7,Regulars,1,120,2025-04-17,166,1
10,600,10,1079.04,1,3,2,6,Regulars,1,120,2024-02-08,600,1
11,234,11,1133.14,3,3,2,8,Regulars,1,120,2025-02-08,234,1
12,394,7,1210.15,2,1,2,5,Hibernating,1,180,2024-09-01,394,1
13,191,4,1461.49,3,1,3,7,Regulars,1,180,2025-03-23,191,1
14,314,13,2638.42,2,4,5,11,At Risk,1,90,2024-11-20,314,1
15,40,12,3856.42,5,4,5,14,Champions,1,90,2025-08-21,40,0
16,447,11,969.6200000000001,2,3,2,7,Regulars,1,120,2024-07-10,447,1
17,212,11,2112.79,3,3,4,10,Big Spenders,1,120,2025-03-02,212,1
18,697,6,635.01,1,1,1,3,Hibernating,1,180,2023-11-03,697,1
19,528,12,2674.6499999999996,1,4,5,10,At Risk,1,90,2024-04-20,528,1
20,127,11,843.54,4,3,1,8,Loyal,1,120,2025-05-26,127,1
21,551,5,2216.35,1,1,4,6,Regulars,1,180,2024-03-28,551,1
22,616,10,2236.7400000000002,1,3,4,8,Regulars,1,120,2024-01-23,616,1
23,120,16,1948.07,4,5,4,13,Champions,1,90,2025-06-02,120,1
24,110,11,3482.07,4,3,5,12,Loyal,1,120,2025-06-12,110,0
25,566,13,3157.65,1,4,5,10,At Risk,1,90,2024-03-13,566,1
26,272,7,4972.34,2,1,5,8,Regulars,1,180,2025-01-01,272,1
27,207,2,133.64000000000001,3,1,1,5,Regulars,1,180,2025-03-07,207,1
28,140,10,1212.1399999999999,4,3,2,9,Loyal,1,120,2025-05-13,140,1
29,26,9,2327.27,5,2,4,11,Big Spenders,1,120,2025-09-04,26,0
30,234,9,1177.3400000000001,3,2,2,7,Regulars,1,120,2025-02-08,234,1
31,322,9,687.73,2,2,1,5,Hibernating,1,120,2024-11-12,322,1
32,76,7,546.59,4,1,1,6,Regulars,1,180,2025-07-16,76,0
33,57,12,1431.0900000000001,5,4,3,12,Loyal,1,90,2025-08-04,57,0
34,135,14,4988.78,4,5,5,14,Champions,1,90,2025-05-18,135,1
35,142,9,2947.31,4,2,5,11,Big Spenders,1,120,2025-05-11,142,1
36,1424,10,4671.5599999999995,1,3,5,9,Regulars,1,120,2021-11-06,1424,1
37,122,11,1748.5400000000002,4,3,4,11,Loyal,1,120,2025-05-31,122,1
38,23,11,2037.26,5,3,4,12,Loyal,1,120,2025-09-07,23,0
39,26,8,3262.69,5,2,5,12,Big Spenders,1,180,2025-09-04,26,0
40,267,6,939.29,2,1,2,5,Hibernating,1,180,2025-01-06,267,1
41,31,9,1018.05,5,2,2,9,Regulars,1,120,2025-08-30,31,0
42,308,17,3284.36,2,5,5,12,At Risk,1,90,2024-11-26,308,1
43,99,8,595.65,4,2,1,7,Regulars,1,180,2025-06-23,99,0
44,554,9,3390.2299999999996,1,2,5,8,Regulars,1,120,2024-03-25,554,1
45,597,8,858.9399999999999,1,2,2,5,Hibernating,1,180,2024-02-11,597,1
46,54,11,1616.91,5,3,3,11,Loyal,1,120,2025-08-07,54,0
47,1328,7,1058.0900000000001,1,1,2,4,Hibernating,1,180,2022-02-10,1328,1
48,78,7,387.15999999999997,4,1,1,6,Regulars,1,180,2025-07-14,78,0
49,190,14,2069.2200000000003,3,5,4,12,Big Spenders,1,90,2025-03-24,190,1
50,228,6,646.15,3,1,1,5,Regulars,1,180,2025-02-14,228,1
51,691,6,762.94,1,1,1,3,Hibernating,1,180,2023-11-09,691,1
52,426,9,1298.35,2,2,3,7,Regulars,1,120,2024-07-31,426,1
53,590,8,1017.96,1,2,2,5,Hibernating,1,180,2024-02-18,590,1
54,40,12,2114.92,5,4,4,13,Champions,1,90,2025-08-21,40,0
55,319,10,1115.34,2,3,2,7,Regulars,1,120,2024-11-15,319,1
56,189,12,1618.1100000000001,3,4,3,10,Regulars,1,90,2025-03-25,189,1
57,87,16,1744.22,4,5,4,13,Champions,1,90,2025-07-05,87,0
58,137,12,3857.27,4,4,5,13,Champions,1,90,2025-05-16,137,1
59,109,10,976.52,4,3,2,9,Loyal,1,120,2025-06-13,109,0
60,141,11,1353.45,4,3,3,10,Loyal,1,120,2025-05-12,141,1
61,230,11,1508.69,3,3,3,9,Regulars,1,120,2025-02-12,230,1
62,376,12,728.51,2,4,1,7,At Risk,1,90,2024-09-19,376,1
63,39,11,5927.23,5,3,5,13,Loyal,1,120,2025-08-22,39,0
64,123,9,6639.380000000001,4,2,5,11,Big Spenders,1,120,2025-05-30,123,1
65,431,4,773.9200000000001,2,1,1,4,Hibernating,1,180,2024-07-26,431,1
66,244,12,1253.79,3,4,3,10,Regulars,1,90,2025-01-29,244,1
67,129,10,1781.5300000000002,4,3,4,11,Loyal,1,120,2025-05-24,129,1
68,22,7,1438.35,5,1,3,9,Regulars,1,180,2025-09-08,22,0
69,811,2,85.96000000000001,1,1,1,3,Hibernating,1,180,2023-07-12,811,1
70,931,10,955.1700000000001,1,3,2,6,Regulars,1,120,2023-03-14,931,1
71,256,13,2350.54,2,4,4,10,At Risk,1,90,2025-01-17,256,1
72,86,12,1748.6000000000001,4,4,4,12,Champions,1,90,2025-07-06,86,0
73,9,14,2758.82,5,5,5,15,Champions,1,90,2025-09-21,9,0
74,141,12,935.8,4,4,2,10,Loyal,1,90,2025-05-12,141,1
75,161,13,6380.610000000001,3,4,5,12,Big Spenders,1,90,2025-04-22,161,1
76,324,7,1504.44,2,1,3,6,Regulars,1,180,2024-11-10,324,1
77,123,14,1145.72,4,5,2,11,Loyal,1,90,2025-05-30,123,1
78,521,14,3198.9799999999996,1,5,5,11,At Risk,1,90,2024-04-27,521,1
79,30,11,2142.56,5,3,4,12,Loyal,1,120,2025-08-31,30,0
80,105,14,2232.28,4,5,4,13,Champions,1,90,2025-06-17,105,1
81,97,11,851.2,4,3,2,9,Loyal,1,120,2025-06-25,97,0
82,38,13,2954.4700000000003,5,4,5,14,Champions,1,90,2025-08-23,38,0
83,408,8,866.49,2,2,2,6,Hibernating,1,180,2024-08-18,408,1
84,53,11,3160.04,5,3,5,13,Loyal,1,120,2025-08-08,53,0
85,636,7,775.1899999999999,1,1,1,3,Hibernating,1,180,2024-01-03,636,1
86,180,7,414.07,3,1,1,5,Regulars,1,180,2025-04-03,180,0
87,272,7,809.1899999999999,2,1,1,4,Hibernating,1,180,2025-01-01,272,1
88,210,7,788.1099999999999,3,1,1,5,Regulars,1,180,2025-03-04,210,1
89,167,8,917.26,3,2,2,7,Regulars,1,180,2025-04-16,167,0
90,496,11,2058.7799999999997,1,3,4,8,Regulars,1,120,2024-05-22,496,1
91,166,6,644.13,3,1,1,5,Regulars,1,180,2025-04-17,166,0
92,241,11,1691.7800000000002,3,3,3,9,Regulars,1,120,2025-02-01,241,1
93,92,8,879.64,4,2,2,8,Regulars,1,180,2025-06-30,92,0
94,129,12,1343.8600000000001,4,4,3,11,Loyal,1,90,2025-05-24,129,1
95,154,15,857.48,3,5,2,10,Regulars,1,90,2025-04-29,154,1
96,16,10,1824.2,5,3,4,12,Loyal,1,120,2025-09-14,16,0
97,192,10,1148.28,3,3,2,8,Regulars,1,120,2025-03-22,192,1
98,103,3,687.3800000000001,4,1,1,6,Regulars,1,180,2025-06-19,103,0
99,529,8,2976.4,1,2,5,8,Regulars,1,180,2024-04-19,529,1
100,50,9,1116.64,5,2,2,9,Regulars,1,120,2025-08-11,50,0
101,530,8,3231.62,1,2,5,8,Regulars,1,180,2024-04-18,530,1
102,252,13,4090.53,2,4,5,11,At Risk,1,90,2025-01-21,252,1
103,35,10,1094.57,5,3,2,10,Loyal,1,120,2025-08-26,35,0
104,912,11,1954.03,1,3,4,8,Regulars,1,120,2023-04-02,912,1
105,331,17,2299.55,2,5,4,11,At Risk,1,90,2024-11-03,331,1
106,831,11,2886.77,1,3,5,9,Regulars,1,120,2023-06-22,831,1
107,230,9,1120.92,3,2,2,7,Regulars,1,120,2025-02-12,230,1
108,142,9,2722.32,4,2,5,11,Big Spenders,1,120,2025-05-11,142,1
109,106,10,1689.95,4,3,3,10,Loyal,1,120,2025-06-16,106,0
110,161,8,1858.6,3,2,4,9,Big Spenders,1,180,2025-04-22,161,0
111,1048,14,1854.54,1,5,4,10,At Risk,1,90,2022-11-17,1048,1
112,281,10,2826.6400000000003,2,3,5,10,Regulars,1,120,2024-12-23,281,1
113,217,7,1023.18,3,1,2,6,Regulars,1,180,2025-02-25,217,1
114,35,12,2994.77,5,4,5,14,Champions,1,90,2025-08-26,35,0
115,274,4,999.51,2,1,2,5,Hibernating,1,180,2024-12-30,274,1
116,33,11,1671.0,5,3,3,11,Loyal,1,120,2025-08-28,33,0
117,57,9,1043.71,5,2,2,9,Regulars,1,120,2025-08-04,57,0
118,230,21,4735.47,3,5,5,13,Big Spenders,1,90,2025-02-12,230,1
119,11,8,1282.1,5,2,3,10,Regulars,1,180,2025-09-19,11,0
120,46,14,1269.3100000000002,5,5,3,13,Loyal,1,90,2025-08-15,46,0
121,1074,2,186.20999999999998,1,1,1,3,Hibernating,1,180,2022-10-22,1074,1
122,158,7,1173.5900000000001,3,1,2,6,Regulars,1,180,2025-04-25,158,0
123,2,12,1337.82,5,4,3,12,Loyal,1,90,2025-09-28,2,0
124,1890,5,264.26,1,1,1,3,Hibernating,1,180,2020-07-28,1890,1
125,391,9,732.65,2,2,1,5,Hibernating,1,120,2024-09-04,391,1
126,355,6,860.44,2,1,2,5,Hibernating,1,180,2024-10-10,355,1
127,1884,5,1635.5,1,1,3,5,Regulars,1,180,2020-08-03,1884,1
128,341,9,1321.29,2,2,3,7,Regulars,1,120,2024-10-24,341,1
129,402,9,3989.2799999999997,2,2,5,9,Regulars,1,120,2024-08-24,402,1
130,262,5,1723.45,2,1,3,6,Regulars,1,180,2025-01-11,262,1
131,252,6,1604.5200000000002,2,1,3,6,Regulars,1,180,2025-01-21,252,1
132,385,9,1480.3200000000002,2,2,3,7,Regulars,1,120,2024-09-10,385,1
133,461,7,992.03,1,1,2,4,Hibernating,1,180,2024-06-26,461,1
134,70,13,3532.52,4,4,5,13,Champions,1,90,2025-07-22,70,0
135,105,10,3089.3100000000004,4,3,5,12,Loyal,1,120,2025-06-17,105,0
136,182,15,4022.16,3,5,5,13,Big Spenders,1,90,2025-04-01,182,1
137,140,5,439.33000000000004,4,1,1,6,Regulars,1,180,2025-05-13,140,0
138,26,9,1638.67,5,2,3,10,Regulars,1,120,2025-09-04,26,0
139,105,10,1045.8,4,3,2,9,Loyal,1,120,2025-06-17,105,0
140,242,10,1245.32,3,3,3,9,Regulars,1,120,2025-01-31,242,1
141,70,8,622.16,4,2,1,7,Regulars,1,180,2025-07-22,70,0
142,308,10,1884.38,2,3,4,9,Regulars,1,120,2024-11-26,308,1
143,161,10,1347.26,3,3,3,9,Regulars,1,120,2025-04-22,161,1
144,109,8,630.05,4,2,1,7,Regulars,1,180,2025-06-13,109,0
145,488,12,3090.2599999999998,1,4,5,10,At Risk,1,90,2024-05-30,488,1
146,399,9,3594.95,2,2,5,9,Regulars,1,120,2024-08-27,399,1
147,84,12,4301.35,4,4,5,13,Champions,1,90,2025-07-08,84,0
148,243,9,824.44,3,2,1,6,Regulars,1,120,2025-01-30,243,1
149,29,7,541.97,5,1,1,7,Regulars,1,180,2025-09-01,29,0
150,558,6,1098.95,1,1,2,4,Hibernating,1,180,2024-03-21,558,1
151,49,14,7051.79,5,5,5,15,Champions,1,90,2025-08-12,49,0
152,399,13,3068.2200000000003,2,4,5,11,At Risk,1,90,2024-08-27,399,1
153,437,8,1583.96,2,2,3,7,Regulars,1,180,2024-07-20,437,1
154,65,8,1445.73,5,2,3,10,Regulars,1,180,2025-07-27,65,0
155,385,9,1468.31,2,2,3,7,Regulars,1,120,2024-09-10,385,1
156,609,11,1171.41,1,3,2,6,Regulars,1,120,2024-01-30,609,1
157,60,11,1927.3899999999999,5,3,4,12,Loyal,1,120,2025-08-01,60,0
158,521,11,1607.5,1,3,3,7,Regulars,1,120,2024-04-27,521,1
159,239,12,941.9100000000001,3,4,2,9,Regulars,1,90,2025-02-03,239,1
160,191,8,1356.68,3,2,3,8,Regulars,1,180,2025-03-23,191,1
161,223,7,865.06,3,1,2,6,Regulars,1,180,2025-02-19,223,1
162,549,7,2123.54,1,1,4,6,Regulars,1,180,2024-03-30,549,1
163,168,6,817.53,3,1,1,5,Regulars,1,180,2025-04-15,168,0
164,264,9,1583.24,2,2,3,7,Regulars,1,120,2025-01-09,264,1
165,258,7,1709.47,2,1,3,6,Regulars,1,180,2025-01-15,258,1
166,240,13,1626.18,3,4,3,10,Regulars,1,90,2025-02-02,240,1
167,1061,7,2043.71,1,1,4,6,Regulars,1,180,2022-11-04,1061,1
168,210,14,1561.3400000000001,3,5,3,11,Regulars,1,90,2025-03-04,210,1
